Part,Value,Device,Package,Description,MPN
C1,4.7uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,GRT188R61E475ME13D 
C2,1uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CC0603KRX5R8BB105
C3,1uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CC0603KRX5R8BB105
C4,1uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CC0603KRX5R8BB105
C5,1uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CC0603KRX5R8BB105
C6,1uF,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CC0603KRX5R8BB105
C8,22uf,CAP_CERAMIC0603_NO,603,Ceramic Capacitors,CL10A226MO7JZNC 
D1,40V Schottky,DIODESOD-123,SOD-123,Diode,SD103AW-7-F 
D2,1n4148,DIODESOD-323,SOD-323,Diode,1N4148WS 
IC1,ST1S03,ST1S03,DFQN6D,,ST1S03PUR 
IC2,MCP9808,MCP9808,MSOP8,,MCP9808-E/MS 
JP1,B6B-PH-K-S(LF)(SN),JST6,JST6,,B6B-PH-K-S(LF)(SN) 
JP2,B8B-PH-K-S(LF)(SN),JST8,JST8,,B8B-PH-K-S(LF)(SN) 
JP3,B3B-PH-K-S(LF)(SN),M03JST-PTH-VERT,JST-3-PTH-VERT,Header 3,JST B3B-PH-K-S (LF)(SN)
L2,3.3uh,MICROBUILDER_INDUCTORNR5040,MICROBUILDER_INDUCTOR_5X5MM_NR5040_NOTHERMALS,Inductors,NR5040T3R3N 
LED1,SK6812MINI,MICROBUILDER_WS2812B3535,MICROBUILDER_LED3535,,2686
LED2,SK6812MINI,MICROBUILDER_WS2812B3535,MICROBUILDER_LED3535,,2686
R1,10K,RESISTOR_0603_NOOUT,603,Resistors,RNCP0603FTD10K0
R2,4.7k,RESISTOR_0603_NOOUT,603,Resistors,ERJ-H3GJ472V
R4,4.7k,RESISTOR_0603_NOOUT,603,Resistors,ERJ-H3GJ472V
R5,15k,RESISTOR_0603_NOOUT,603,Resistors,ERJ-H3EF1502V
R6,47k,RESISTOR_0603_NOOUT,603,Resistors,ERJ-H3GJ473V 
SW1,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SMT Tact Switches,KMR221NG LFS
SW2,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SMT Tact Switches,KMR221NG LFS
X2,ESP32-WROOM-32,ESP32_WROOM32_SKINNY,WROOM32_SKINNY,,ESP32-WROOM-32E-H4
