Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,0603-NO,129.48285,-105.515776,-90,top
C2,1uF,0603-NO,143.19885,-107.420776,-90,top
C3,1uF,0603-NO,163.63335,-93.467776,0,top
C4,1uF,0603-NO,135.13435,-93.577776,-90,top
C5,1uF,0603-NO,129.41935,-111.040276,90,top
C6,1uF,0603-NO,143.57985,-100.880276,-90,top
C8,22uf,0603-NO,129.73685,-100.880276,-90,top
D1,BAT54ZFILM,SOD-123,136.78535,-101.261276,90,top
D2,1n4148,SOD-323,142.94485,-111.167276,0,top
IC1,ST1S03,DFQN6D,132.78485,-105.706276,90,top
IC2,MCP9808,MSOP8,167.51935,-116.945776,90,top
JP1,B6B-PH-K-S(LF)(SN),JST6,125.10135,-104.309276,90,top
JP2,B8B-PH-K-S(LF)(SN),JST8,149.16785,-116.310776,0,top
JP3,B3B-PH-K-S(LF)(SN),JST-3-PTH-VERT,132.65785,-116.310776,0,top
L2,3.3uh,MICROBUILDER_INDUCTOR_5X5MM_NR5040_NOTHERMALS,133.22935,-101.261276,90,top
LED1,SK6812MINI,MICROBUILDER_LED3535,140.21435,-100.880276,180,top
LED2,SK6812MINI,MICROBUILDER_LED3535,140.02385,-107.420776,180,top
R1,10K,0603-NO,143.77035,-93.069776,0,top
R2,4.7k,0603-NO,159.58185,-116.056776,-90,top
R4,4.7k,0603-NO,161.23285,-116.056776,-90,top
R5,15k,0603-NO,135.51535,-106.976276,90,top
R6,47k,0603-NO,132.53085,-108.309776,0,top
SW1,KMR2,BTN_KMR2_4.6X2.8,135.83285,-111.611776,180,top
SW2,KMR2,BTN_KMR2_4.6X2.8,139.07135,-93.450776,180,top
U$8,MOUNTINGHOLE2.5,MOUNTINGHOLE_2.5_PLATED,125.35535,-94.149276,0,top
U$17,MOUNTINGHOLE2.5,MOUNTINGHOLE_2.5_PLATED,171.58335,-115.612276,0,top
U$25,MOUNTINGHOLE2.5,MOUNTINGHOLE_2.5_PLATED,125.67285,-115.485276,0,top
U$27,MOUNTINGHOLE2.5,MOUNTINGHOLE_2.5_PLATED,171.51985,-93.895276,0,top
X2,ESP32-WROOM-32,WROOM32_SKINNY,159.39135,-103.928276,-90,top
